idx,good_score,bad_score
1,-3.888192653656006,-3.994249105453491
2,-4.548623085021973,-4.658816337585449
3,-3.979764223098755,-4.242191791534424
4,-4.588879585266113,-4.64510440826416
5,-4.565646171569824,-4.945628643035889
6,-4.090012550354004,-4.304346084594727
7,-3.104231119155884,-3.3547768592834473
8,-5.366069793701172,-5.3402862548828125
9,-5.386590957641602,-5.516810894012451
10,-5.372786045074463,-5.473334789276123
11,-3.5128984451293945,-3.7117788791656494
12,-3.0115716457366943,-3.1381752490997314
13,-2.4845077991485596,-2.640995502471924
14,-4.262487411499023,-4.500753879547119
15,-3.417628049850464,-3.4593605995178223
16,-4.906920909881592,-4.849417686462402
17,-5.0640435218811035,-5.104223728179932
18,-5.002753257751465,-4.993477821350098
19,-7.160354137420654,-7.290900230407715
20,-3.2021031379699707,-3.7135303020477295
21,-4.944301128387451,-5.2711992263793945
22,-6.094536781311035,-6.352444648742676
23,-3.8566038608551025,-3.9911317825317383
24,-6.639450550079346,-6.312414169311523
25,-8.056815147399902,-8.053496360778809
26,-5.303706169128418,-5.067159652709961
27,-5.964480876922607,-5.848113536834717
28,-5.775134563446045,-5.988556385040283
29,-7.815711975097656,-7.757767677307129
30,-7.103137969970703,-7.1320929527282715
31,-7.930995941162109,-7.693737983703613
32,-5.16087532043457,-5.601958751678467
33,-4.658494472503662,-4.965386867523193
34,-5.387222766876221,-5.529476642608643
35,-6.383458614349365,-6.5586652755737305
36,-3.6683177947998047,-3.727088451385498
37,-4.738097667694092,-4.857828617095947
38,-5.02831506729126,-5.246717929840088
39,-4.864217281341553,-5.067022323608398
40,-4.56830358505249,-4.748359680175781
41,-7.723072528839111,-7.344354152679443
42,-3.4530041217803955,-3.3188118934631348
43,-6.782747268676758,-6.944601535797119
44,-5.4420623779296875,-5.572785377502441
45,-6.445172309875488,-7.044315338134766
46,-8.196220397949219,-8.449708938598633
47,-4.937394142150879,-4.981501579284668
48,-3.911004066467285,-3.98842716217041
49,-6.923841953277588,-6.940215110778809
50,-7.835837364196777,-7.691051483154297
51,-7.1656389236450195,-7.155175685882568
52,-7.88681697845459,-7.879867076873779
53,-4.98320198059082,-4.9947638511657715
54,-3.789515256881714,-3.752248525619507
55,-5.802026748657227,-6.417400360107422
56,-3.7630910873413086,-3.8633506298065186
57,-6.27715539932251,-6.351130485534668
58,-5.165175437927246,-5.186453819274902
59,-5.137091159820557,-5.5088653564453125
60,-5.645839214324951,-5.892165184020996
61,-2.321913719177246,-2.5257160663604736
62,-2.4009690284729004,-2.506620407104492
63,-4.206734657287598,-4.4080586433410645
64,-4.76611852645874,-5.285656452178955
65,-3.0310986042022705,-3.100142478942871
66,-4.541078090667725,-4.520543098449707
67,-2.7334351539611816,-2.827524423599243
68,-3.3869988918304443,-3.81130313873291
69,-4.4557414054870605,-4.552774429321289
70,-6.086035251617432,-6.240320205688477
71,-3.6094374656677246,-3.5084457397460938
72,-4.589081764221191,-4.979170799255371
73,-5.607727527618408,-5.743256092071533
74,-4.721221446990967,-4.902263164520264
75,-5.505496978759766,-5.636929035186768
76,-7.594908714294434,-7.591733455657959
77,-7.025583267211914,-7.337512969970703
78,-6.377801418304443,-6.301064968109131
79,-5.7006402015686035,-6.2747111320495605
80,-6.259545803070068,-6.744980812072754
81,-5.816339015960693,-6.038942337036133
82,-6.7789106369018555,-6.927403926849365
83,-4.70700740814209,-4.72381067276001
84,-3.8754937648773193,-4.156359672546387
85,-5.093296527862549,-5.241373538970947
86,-7.360589027404785,-7.276029109954834
87,-7.42641019821167,-7.768756866455078
88,-7.46409797668457,-7.515366554260254
89,-6.992797374725342,-7.140611171722412
90,-6.303441047668457,-6.316860198974609
91,-4.718480110168457,-5.063065528869629
92,-4.769002914428711,-4.9740753173828125
93,-6.763937473297119,-6.763474941253662
94,-7.322718620300293,-7.224895477294922
95,-3.609943389892578,-3.780505418777466
96,-5.692187786102295,-5.591982364654541
97,-5.216004848480225,-5.257184982299805
98,-7.481686592102051,-7.75784158706665
99,-4.004992485046387,-4.1154255867004395
100,-4.619634628295898,-4.737901210784912
101,-6.951898574829102,-7.334108352661133
102,-5.927602767944336,-5.979917049407959
103,-4.420461654663086,-4.929662704467773
104,-6.484645366668701,-6.747821807861328
105,-5.724381923675537,-5.703116416931152
106,-5.11064338684082,-5.2252960205078125
107,-8.574735641479492,-8.959918975830078
108,-6.108788967132568,-6.625499725341797
109,-8.801326751708984,-9.674736022949219
110,-3.742647171020508,-3.9805424213409424
111,-6.549394130706787,-6.638815402984619
112,-6.829446315765381,-6.977882385253906
113,-6.155992031097412,-6.361291408538818
114,-6.437690258026123,-6.704426288604736
115,-6.858880519866943,-6.849510192871094
116,-5.040219306945801,-5.309153079986572
117,-5.096414089202881,-5.323858737945557
118,-6.238271236419678,-6.631374359130859
119,-3.0449657440185547,-3.199705123901367
120,-4.828667640686035,-5.124048233032227
121,-4.0638275146484375,-4.182096004486084
122,-2.8422818183898926,-3.0996878147125244
123,-4.948154926300049,-5.106812953948975
124,-2.9384703636169434,-3.1412882804870605
125,-3.346538543701172,-3.4331133365631104
126,-3.157447576522827,-3.066864490509033
127,-6.3650007247924805,-6.577633857727051
128,-4.6087327003479,-4.703076362609863
129,-3.171905994415283,-3.293752908706665
130,-4.0605878829956055,-4.193816184997559
