idx,good_score,bad_score
1,-6.961318492889404,-8.429141998291016
2,-7.025337219238281,-8.694223403930664
3,-7.255801677703857,-7.804290771484375
4,-8.415010452270508,-9.548393249511719
5,-8.798818588256836,-10.951895713806152
6,-4.1112060546875,-4.618672847747803
7,-7.606045722961426,-8.179789543151855
8,-5.520608901977539,-5.715465545654297
9,-6.824725151062012,-8.087800979614258
10,-10.264534950256348,-9.966854095458984
11,-8.157269477844238,-9.757278442382812
12,-8.531497955322266,-9.707368850708008
13,-4.696732521057129,-4.875062465667725
14,-4.870143890380859,-5.0830817222595215
15,-6.54336404800415,-7.081632137298584
16,-5.714015960693359,-5.9036407470703125
17,-9.21135139465332,-9.399677276611328
18,-7.106734275817871,-7.477110862731934
19,-8.646933555603027,-9.783918380737305
20,-4.437251567840576,-4.709144592285156
21,-6.194943428039551,-7.9232587814331055
22,-6.429667949676514,-6.590220928192139
23,-5.6756486892700195,-5.776237487792969
24,-6.881069183349609,-8.332663536071777
25,-7.307748794555664,-7.756692409515381
26,-4.7444305419921875,-5.408584117889404
27,-4.103684902191162,-4.705106258392334
28,-5.93477201461792,-7.8160552978515625
29,-4.985767364501953,-5.243291854858398
30,-11.06925106048584,-12.330909729003906
31,-10.776863098144531,-11.560958862304688
32,-8.21796703338623,-9.132911682128906
33,-7.880744934082031,-9.970212936401367
34,-7.660881519317627,-8.073921203613281
35,-8.087014198303223,-8.702017784118652
36,-4.102916717529297,-4.474296569824219
37,-6.98933219909668,-7.133109092712402
38,-6.031718730926514,-6.362753391265869
39,-6.686966419219971,-7.038132190704346
40,-5.505746841430664,-6.815803527832031
41,-10.86634635925293,-11.012063980102539
42,-9.599719047546387,-10.955828666687012
43,-9.988029479980469,-10.632854461669922
44,-7.992448329925537,-8.719204902648926
45,-8.543758392333984,-9.021515846252441
46,-8.122663497924805,-9.221304893493652
47,-6.979347229003906,-8.492155075073242
48,-7.148168087005615,-8.870187759399414
49,-5.383216857910156,-6.296657562255859
50,-6.113630294799805,-7.644164085388184
51,-6.108051300048828,-7.145330905914307
52,-6.247955322265625,-6.895875930786133
53,-8.09127140045166,-9.164077758789062
54,-5.306077480316162,-5.341594696044922
55,-6.762731075286865,-7.35200309753418
56,-7.650262355804443,-8.035547256469727
57,-5.967400074005127,-6.122222900390625
58,-3.8057708740234375,-4.000179290771484
59,-5.221563816070557,-5.403381824493408
60,-5.24293327331543,-5.75588321685791
61,-9.111637115478516,-10.070381164550781
62,-8.611361503601074,-9.178537368774414
63,-6.096900463104248,-6.42495584487915
64,-6.405190467834473,-6.757758140563965
65,-4.389290809631348,-4.478426933288574
66,-8.169743537902832,-7.784975051879883
67,-11.006387710571289,-12.2588529586792
68,-5.856125831604004,-7.136643409729004
69,-6.169912338256836,-6.581175327301025
70,-7.06158971786499,-7.9826812744140625
71,-7.715703964233398,-7.629856109619141
72,-5.996541500091553,-7.484864711761475
73,-7.933615684509277,-8.595279693603516
74,-5.240396499633789,-5.661497116088867
75,-5.059084415435791,-5.15541410446167
76,-5.570642948150635,-6.198792934417725
77,-8.371708869934082,-9.571382522583008
78,-8.46949291229248,-10.273333549499512
79,-7.695014953613281,-8.428142547607422
80,-4.707622051239014,-5.045113563537598
81,-5.87324333190918,-6.493760585784912
82,-7.108258247375488,-7.659074783325195
83,-5.841139793395996,-6.336963176727295
84,-7.255697250366211,-7.560321807861328
85,-7.551440715789795,-8.142337799072266
86,-5.261968612670898,-6.786394119262695
87,-7.9193572998046875,-9.046468734741211
88,-4.786896705627441,-6.176580429077148
89,-12.17526626586914,-12.158419609069824
90,-10.514700889587402,-11.347810745239258
91,-7.064315319061279,-7.939300060272217
92,-6.272457599639893,-6.464375972747803
93,-6.2696356773376465,-6.814355373382568
94,-12.327953338623047,-11.465204238891602
95,-7.328914165496826,-8.560026168823242
96,-8.060155868530273,-8.273468017578125
97,-4.885912895202637,-5.031461238861084
98,-5.689840316772461,-6.1858649253845215
99,-6.315924644470215,-7.848967552185059
100,-4.44683313369751,-4.677537441253662
101,-5.998895645141602,-6.566555976867676
102,-6.860108852386475,-7.4629950523376465
103,-6.3512091636657715,-6.573146820068359
104,-6.71461296081543,-7.270892143249512
105,-7.62432336807251,-8.566890716552734
106,-7.042844295501709,-8.140936851501465
107,-4.691366672515869,-4.832038879394531
108,-5.679628372192383,-6.170224666595459
109,-5.489175319671631,-5.688766002655029
110,-8.383602142333984,-9.46169662475586
111,-5.551208972930908,-6.6498003005981445
112,-6.624964714050293,-7.560203552246094
113,-7.3198089599609375,-8.939215660095215
114,-9.168296813964844,-10.383129119873047
115,-7.043443202972412,-7.623215198516846
116,-7.823907375335693,-9.475618362426758
117,-7.160306453704834,-8.522239685058594
118,-6.440659523010254,-7.7743330001831055
119,-5.023531436920166,-5.324199676513672
120,-5.598784446716309,-5.752814292907715
121,-5.259504318237305,-5.496641159057617
122,-8.038543701171875,-9.208017349243164
123,-4.533188819885254,-4.801881790161133
124,-6.903362274169922,-7.0522308349609375
125,-8.939262390136719,-9.355966567993164
126,-6.609730243682861,-6.796789169311523
127,-7.365259170532227,-7.365259170532227
128,-4.789972305297852,-5.093539714813232
129,-7.6125311851501465,-9.121917724609375
130,-5.851791858673096,-6.348066329956055
131,-6.69977331161499,-7.989306449890137
132,-7.430512428283691,-7.808915138244629
133,-7.160714149475098,-8.265442848205566
134,-3.9916610717773438,-4.607934474945068
135,-5.97019100189209,-6.713233947753906
136,-9.983175277709961,-10.699016571044922
137,-5.302384376525879,-6.125941753387451
138,-5.935291290283203,-6.194764137268066
139,-4.7307891845703125,-5.628514289855957
140,-8.108391761779785,-8.993389129638672
141,-9.132074356079102,-10.146259307861328
142,-8.111509323120117,-9.502599716186523
143,-5.139559745788574,-5.257683753967285
144,-9.158742904663086,-10.320281982421875
145,-8.211373329162598,-9.666380882263184
146,-6.080039978027344,-6.310900688171387
147,-6.8849921226501465,-8.094192504882812
148,-8.291557312011719,-9.241512298583984
149,-7.772880554199219,-8.080377578735352
150,-4.160887241363525,-4.82427978515625
151,-8.472769737243652,-9.147686004638672
152,-3.898530960083008,-4.155023574829102
153,-7.496119976043701,-8.135734558105469
154,-6.6414008140563965,-6.818225383758545
155,-5.20501184463501,-5.373055934906006
156,-9.218376159667969,-9.981369972229004
157,-8.655487060546875,-9.512337684631348
158,-4.450385093688965,-4.600275039672852
159,-8.902344703674316,-9.393415451049805
160,-7.12127685546875,-8.476447105407715
161,-5.564246654510498,-6.120094299316406
162,-8.16836929321289,-8.656892776489258
163,-7.990339756011963,-8.868330001831055
164,-4.939958572387695,-5.4048027992248535
165,-8.160783767700195,-9.558992385864258
166,-11.023913383483887,-12.195302963256836
167,-9.001006126403809,-9.908123016357422
168,-7.016597270965576,-7.716789245605469
169,-8.644718170166016,-9.436800003051758
170,-7.758997917175293,-9.042038917541504
171,-8.190996170043945,-9.05471420288086
172,-6.124375820159912,-6.4674973487854
173,-9.451181411743164,-10.01556396484375
174,-6.719959735870361,-7.176815986633301
175,-6.667294502258301,-6.728686332702637
176,-9.65898609161377,-10.121867179870605
177,-9.888179779052734,-10.515098571777344
178,-7.723067283630371,-8.436002731323242
179,-6.28572416305542,-6.450895309448242
