idx,good_score,bad_score
1,-8.69763469696045,-8.900923728942871
2,-7.69912576675415,-9.002202987670898
3,-8.867080688476562,-8.868700981140137
4,-7.557125568389893,-8.34495735168457
5,-7.1007080078125,-7.799053192138672
6,-7.18386173248291,-7.890477657318115
7,-7.163595199584961,-7.863636016845703
8,-8.65891170501709,-8.70407772064209
9,-7.387466907501221,-8.543153762817383
10,-8.775901794433594,-8.546398162841797
11,-7.458535671234131,-8.15280818939209
12,-7.089947700500488,-7.6952691078186035
13,-7.1807661056518555,-7.772910118103027
14,-7.149875640869141,-7.745342254638672
15,-8.923033714294434,-8.945982933044434
16,-8.019759178161621,-9.313064575195312
17,-8.841490745544434,-8.797592163085938
18,-7.906167030334473,-8.503565788269043
19,-7.523448944091797,-8.061968803405762
20,-7.524612903594971,-8.086978912353516
21,-7.492367267608643,-8.064417839050293
22,-8.50082015991211,-8.83938980102539
23,-7.670656681060791,-9.034637451171875
24,-8.734210968017578,-8.780305862426758
25,-7.626028060913086,-8.405437469482422
26,-7.190285682678223,-7.87951135635376
27,-7.369058609008789,-8.005897521972656
28,-7.139646530151367,-7.851804733276367
29,-8.411489486694336,-8.509875297546387
30,-7.688424587249756,-8.885226249694824
31,-8.558241844177246,-8.577699661254883
32,-7.521432399749756,-8.344196319580078
33,-7.1811394691467285,-7.924698352813721
34,-7.258812427520752,-7.981741905212402
35,-7.081789016723633,-7.876832008361816
36,-8.359373092651367,-8.322315216064453
37,-7.584519863128662,-8.767393112182617
38,-8.514411926269531,-8.269916534423828
39,-7.429369926452637,-8.097713470458984
40,-6.914027214050293,-7.519579887390137
41,-7.124424934387207,-7.683743953704834
42,-6.904205799102783,-7.525752067565918
43,-8.63552474975586,-8.588184356689453
44,-7.841864585876465,-9.02765941619873
45,-8.70933723449707,-8.571287155151367
46,-7.5793023109436035,-8.302268981933594
47,-7.228771686553955,-7.8916015625
48,-7.282690048217773,-7.9472784996032715
49,-7.258358001708984,-7.928587913513184
50,-8.357409477233887,-8.536050796508789
51,-7.732424259185791,-8.950899124145508
52,-8.48198127746582,-8.567840576171875
53,-7.618222236633301,-8.300868034362793
54,-7.185461044311523,-7.771020412445068
55,-7.284761905670166,-7.837975978851318
56,-7.216104507446289,-7.826807498931885
57,-8.788599014282227,-8.940058708190918
58,-7.887852668762207,-9.183517456054688
59,-8.867972373962402,-8.950967788696289
60,-7.8557891845703125,-8.628049850463867
61,-7.423839569091797,-8.117206573486328
62,-7.6754302978515625,-8.32446575164795
63,-7.468582630157471,-8.1880521774292
64,-9.18716812133789,-9.150976181030273
65,-8.26960563659668,-9.435699462890625
66,-9.153751373291016,-8.971891403198242
67,-7.98577880859375,-8.580086708068848
68,-7.582476615905762,-8.119019508361816
69,-7.713125228881836,-8.282051086425781
70,-7.526506423950195,-8.085143089294434
71,-9.39150619506836,-9.31049919128418
72,-8.276081085205078,-9.556329727172852
73,-9.41398811340332,-9.28381633758545
74,-8.155207633972168,-8.9033784866333
75,-7.767509937286377,-8.468031883239746
76,-7.8598809242248535,-8.56075668334961
77,-7.7396368980407715,-8.52505111694336
78,-9.309232711791992,-9.044975280761719
79,-7.943605422973633,-9.044779777526855
80,-9.331443786621094,-8.909098625183105
81,-8.068419456481934,-8.838833808898926
82,-7.815601348876953,-8.496440887451172
83,-7.9403767585754395,-8.567632675170898
84,-7.917450428009033,-8.635919570922852
85,-9.662227630615234,-9.310779571533203
86,-8.590126991271973,-9.841513633728027
87,-9.418410301208496,-9.066943168640137
88,-8.567524909973145,-9.181599617004395
89,-8.201850891113281,-8.76426887512207
90,-8.338056564331055,-8.873689651489258
91,-8.2313232421875,-8.853700637817383
92,-9.209512710571289,-9.099506378173828
93,-8.242637634277344,-9.490989685058594
94,-9.261064529418945,-8.955016136169434
95,-8.220674514770508,-8.96397590637207
96,-7.936908721923828,-8.58896541595459
97,-8.1438570022583,-8.699108123779297
98,-7.8144850730896,-8.553849220275879
99,-9.159286499023438,-8.905374526977539
100,-8.328588485717773,-9.508705139160156
101,-9.160484313964844,-8.881086349487305
102,-8.215225219726562,-8.969454765319824
103,-7.889608383178711,-8.594962120056152
104,-8.052509307861328,-8.696612358093262
105,-7.8043293952941895,-8.608016967773438
106,-9.059324264526367,-8.66189956665039
107,-8.161831855773926,-9.32938003540039
108,-9.004377365112305,-8.483423233032227
109,-7.989058494567871,-8.675764083862305
110,-7.65132999420166,-8.297298431396484
111,-7.790119171142578,-8.361312866210938
112,-7.55207633972168,-8.273419380187988
113,-9.37585735321045,-8.981067657470703
114,-8.390013694763184,-9.535395622253418
115,-9.24610710144043,-8.856131553649902
116,-8.164983749389648,-8.825005531311035
117,-8.025982856750488,-8.568267822265625
118,-8.088472366333008,-8.60478401184082
119,-7.974842071533203,-8.608989715576172
120,-9.112421989440918,-8.867461204528809
121,-8.312971115112305,-9.517058372497559
122,-9.081600189208984,-8.804283142089844
123,-8.216277122497559,-8.90976619720459
124,-7.894499778747559,-8.522244453430176
125,-8.032681465148926,-8.581664085388184
126,-7.919262409210205,-8.607461929321289
127,-9.662222862243652,-9.43546199798584
128,-8.540579795837402,-9.79261589050293
129,-9.566702842712402,-9.318084716796875
130,-8.543757438659668,-9.301156997680664
131,-8.281585693359375,-8.951480865478516
132,-8.571903228759766,-9.166864395141602
133,-8.280876159667969,-9.020984649658203
134,-9.85763168334961,-9.450316429138184
135,-8.834493637084961,-10.003005027770996
136,-9.708003044128418,-9.213144302368164
137,-8.749601364135742,-9.336512565612793
138,-8.429033279418945,-8.914203643798828
139,-8.609705924987793,-9.080735206604004
140,-8.369775772094727,-8.986295700073242
141,-9.297981262207031,-9.212848663330078
142,-7.990490436553955,-9.240495681762695
143,-9.321990966796875,-9.128253936767578
144,-7.829933166503906,-8.559020042419434
145,-7.452957630157471,-8.115180969238281
146,-7.564022064208984,-8.22201919555664
147,-7.519963264465332,-8.20031452178955
148,-9.423730850219727,-9.177816390991211
149,-7.773071765899658,-8.863344192504883
150,-9.408271789550781,-9.015790939331055
151,-7.880544662475586,-8.618475914001465
152,-7.552268981933594,-8.235877990722656
153,-7.654709815979004,-8.308990478515625
154,-7.629513263702393,-8.325586318969727
155,-9.725421905517578,-9.50127124786377
156,-8.342477798461914,-9.590618133544922
157,-9.558323860168457,-9.302131652832031
158,-8.39521598815918,-8.978620529174805
159,-7.965323448181152,-8.493391990661621
160,-8.084128379821777,-8.607673645019531
161,-8.002628326416016,-8.619380950927734
162,-9.366959571838379,-9.443984985351562
163,-8.138425827026367,-9.481161117553711
164,-9.563055038452148,-9.417008399963379
165,-8.165204048156738,-8.977170944213867
166,-7.74149751663208,-8.522253036499023
167,-7.987508773803711,-8.652748107910156
168,-7.621362209320068,-8.484235763549805
169,-9.279594421386719,-9.042800903320312
170,-8.2134428024292,-9.378419876098633
171,-9.33229923248291,-9.089617729187012
172,-8.074844360351562,-8.769560813903809
173,-7.67396354675293,-8.315677642822266
174,-7.829164028167725,-8.447227478027344
175,-7.553857326507568,-8.326202392578125
176,-9.1370849609375,-8.857779502868652
177,-7.918295383453369,-9.056897163391113
178,-9.138975143432617,-8.71171760559082
179,-7.66559362411499,-8.536308288574219
