idx,good_score,bad_score
1,-7.47742223739624,-7.686526775360107
2,-6.397841453552246,-7.75303840637207
3,-7.742618560791016,-7.886631011962891
4,-6.59844446182251,-7.59518575668335
5,-5.946611404418945,-6.797746181488037
6,-6.155739784240723,-7.10568380355835
7,-6.080372333526611,-6.960627555847168
8,-7.1743998527526855,-7.096805095672607
9,-6.11638879776001,-7.4072794914245605
10,-7.163261413574219,-7.1466827392578125
11,-6.213059902191162,-7.0311455726623535
12,-5.862605094909668,-6.568392753601074
13,-6.106328010559082,-6.758764266967773
14,-5.914927005767822,-6.680330753326416
15,-7.718822479248047,-7.772262096405029
16,-6.760338306427002,-7.972569942474365
17,-7.663552761077881,-7.704448699951172
18,-6.781827926635742,-7.549323081970215
19,-6.27266263961792,-6.943155288696289
20,-6.472262859344482,-7.130906581878662
21,-6.313929080963135,-7.086648464202881
22,-7.268571853637695,-7.297582149505615
23,-6.4004082679748535,-7.680158615112305
24,-7.378665447235107,-7.485782146453857
25,-6.482141017913818,-7.259575366973877
26,-5.97435998916626,-6.695706367492676
27,-6.266618728637695,-6.913056373596191
28,-6.056634426116943,-6.857968330383301
29,-7.406126976013184,-7.54405403137207
30,-6.454163551330566,-7.856074810028076
31,-7.414972305297852,-7.545573711395264
32,-6.674423694610596,-7.633871078491211
33,-6.094523906707764,-6.866246223449707
34,-6.28454065322876,-7.097027778625488
35,-6.0363945960998535,-6.93576192855835
36,-7.197220802307129,-7.256669521331787
37,-6.35385799407959,-7.742108345031738
38,-7.301709175109863,-7.3690009117126465
39,-6.5359883308410645,-7.490750312805176
40,-5.882233142852783,-6.6784539222717285
41,-6.135540962219238,-6.945276737213135
42,-5.945204734802246,-6.872559070587158
43,-7.288554668426514,-7.4146952629089355
44,-6.352631092071533,-7.521866798400879
45,-7.228142738342285,-7.322536468505859
46,-6.369441509246826,-7.216104030609131
47,-5.917876720428467,-6.651268482208252
48,-6.118095874786377,-6.821858882904053
49,-5.974542140960693,-6.783395290374756
50,-7.172719955444336,-7.299535751342773
51,-6.383990287780762,-7.627222061157227
52,-7.230114936828613,-7.340981483459473
53,-6.581827640533447,-7.511911869049072
54,-5.99213171005249,-6.819454669952393
55,-6.109506130218506,-6.927783966064453
56,-6.156114101409912,-7.034490585327148
57,-7.929854393005371,-7.988251686096191
58,-6.797515392303467,-8.03499984741211
59,-8.039857864379883,-8.014328956604004
60,-6.9450507164001465,-7.6963324546813965
61,-6.421020030975342,-7.117741107940674
62,-6.645962715148926,-7.350754737854004
63,-6.633627891540527,-7.35174560546875
64,-7.914216995239258,-7.932240962982178
65,-6.870713233947754,-8.166946411132812
66,-8.123958587646484,-8.176400184631348
67,-7.133152008056641,-7.890142440795898
68,-6.541868209838867,-7.16309118270874
69,-6.750032424926758,-7.38593053817749
70,-6.547698020935059,-7.2428388595581055
71,-7.951802730560303,-8.005209922790527
72,-6.8460774421691895,-8.034219741821289
73,-8.206554412841797,-8.10291862487793
74,-6.917184352874756,-7.849287033081055
75,-6.478170871734619,-7.297125816345215
76,-6.672496318817139,-7.611405849456787
77,-6.5733513832092285,-7.401596546173096
78,-7.650851249694824,-7.310227870941162
79,-6.449699878692627,-7.5134992599487305
80,-7.654021263122559,-7.351136684417725
81,-6.622186660766602,-7.414734363555908
82,-6.376969337463379,-7.058999538421631
83,-6.575616359710693,-7.263055324554443
84,-6.456563949584961,-7.238636493682861
85,-8.1831693649292,-7.901330471038818
86,-7.115320682525635,-8.196913719177246
87,-8.29236125946045,-7.964476585388184
88,-7.08223819732666,-7.866129398345947
89,-6.780222415924072,-7.425318717956543
90,-6.942069053649902,-7.633779525756836
91,-6.860459804534912,-7.662506580352783
92,-7.785143852233887,-7.534646511077881
93,-6.7831034660339355,-7.9382429122924805
94,-7.998930931091309,-7.826722621917725
95,-6.7774434089660645,-7.659757614135742
96,-6.464104175567627,-7.237431049346924
97,-6.694602012634277,-7.479308128356934
98,-6.615001201629639,-7.4689459800720215
99,-8.06137752532959,-7.900155544281006
100,-6.911745548248291,-8.11011028289795
101,-8.144460678100586,-7.905036926269531
102,-7.072879791259766,-8.021605491638184
103,-6.648372173309326,-7.400980472564697
104,-6.853241443634033,-7.6795973777771
105,-6.703545570373535,-7.5508575439453125
106,-7.812731742858887,-7.619056701660156
107,-6.7228217124938965,-7.9197211265563965
108,-7.89688777923584,-7.745023250579834
109,-6.914028644561768,-7.855725288391113
110,-6.4250874519348145,-7.207941055297852
111,-6.636198043823242,-7.4356369972229
112,-6.566923141479492,-7.378611087799072
113,-7.853450775146484,-7.689261436462402
